acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,w,linear_vel_x,linear_vel_y,angular_vel_z,orientation,latitude,longitude,altitude
-0.038907,0.053845,0.992476,-0.102991,-0.07883,0.013848,-0.008522,-0.824543,2.766441,10.408284,3.988,-0.002,-0.008918,0.99996,-30.061865707,-51.175915013,31.6537
-0.0427,0.04834,0.99251,-0.103863,0.07883,-0.022371,0.024501,-3.305358,0.745502,8.712492,4.098,-0.002,0.0,1.0,-30.06186666,-51.175915001,31.6342
-0.045251,0.045789,0.992376,-0.104199,0.090548,-0.034088,0.011718,-5.513121,-3.738288,11.665757,4.208,-0.002,0.0,1.0,-30.061867619,-51.17591502,31.6636
-0.044614,0.047266,0.992409,-0.103964,0.010653,-0.005326,-0.010653,-1.521542,-1.393999,9.898109,4.318,-0.002,0.0,1.0,-30.061868545,-51.175914948,31.653
-0.044345,0.048105,0.992342,-0.104904,0.041545,-0.001065,0.015979,-0.892806,-0.039521,9.319671,4.428,-0.002,0.0,1.0,-30.061869483,-51.175914967,31.6408
-0.043439,0.049683,0.992275,-0.104938,-0.061785,0.013848,0.003196,-1.176635,2.11974,11.507674,4.538,-0.002,-0.008918,0.99996,-30.061870473,-51.175914961,31.6658
-0.041022,0.047031,0.992543,-0.10477,0.042611,0.014914,-0.001065,0.725742,-1.629326,9.574759,4.648,-0.002,-0.008918,0.99996,-30.061871361,-51.175914905,31.6619
-0.040149,0.044781,0.992678,-0.10487,0.013848,-0.008522,-0.017044,0.294608,1.284419,9.820864,4.758,-0.002,-0.008918,0.99996,-30.061872249,-51.175914934,31.6441
-0.038739,0.046091,0.992812,-0.103326,-0.001065,0.034088,0.013848,0.411373,2.227524,10.498103,4.867,-0.002,-0.008918,0.99996,-30.061873145,-51.17591501,31.6461
-0.041223,0.047232,0.992711,-0.102991,0.046872,-0.014914,-0.024501,-2.188003,-0.481433,8.879556,4.977,-0.002,-0.008918,0.99996,-30.06187406,-51.175914926,31.6445
-0.043607,0.046426,0.992611,-0.103259,-0.009587,-0.070308,0.029827,-4.189181,-0.32335,10.790915,5.087,-0.002,-0.008918,0.99996,-30.061874943,-51.175915012,31.6512
